Roberto#Gómez#11111111#roberto.gomez@example.com#+34 600 123 456#Avenida del Sol 5 Madrid#60001#2025-03-10#3#520.00
#10001#Portátil 15"#1#650.00
#10002#Ratón inalámbrico#1#15.50
#10004#Teclado mecánico#1#80.00
Roberto#Gómez#11111111#roberto.gomez@example.com#+34 600 123 456#Avenida del Sol 5 Madrid#60002#2025-07-22#2#180.00
#40001#Disco SSD 1TB#1#120.00
#90005#Cargador USB-C#2#30.00

Carmen#Iglesias#22222222#carmen.iglesias@example.com#+34 611 234 567#Calle Mayor 12 Barcelona#60003#2025-04-18#4#635.00
#60001#PC sobremesa#1#1200.00
#20001#Monitor 27"#1#210.00
#10002#Ratón inalámbrico#1#15.50
#10004#Teclado mecánico#1#80.00

Miguel#Castillo#33333333#miguel.castillo@example.com#+34 622 345 678#Plaza España 3 Sevilla#60004#2025-05-30#3#310.00
#80001#Router WiFi 6#1#150.00
#80002#Repetidor WiFi#1#60.00
#40002#Memoria RAM 16GB#1#75.00
Miguel#Castillo#33333333#miguel.castillo@example.com#+34 622 345 678#Plaza España 3 Sevilla#60005#2025-09-14#2#250.00
#30001#Tablet 10"#1#250.00
#30002#Funda tablet#1#50.00

Isabel#Moreno#44444444#isabel.moreno@example.com#+34 633 456 789#Calle Nueva 8 Valencia#60006#2025-06-25#3#195.00
#50001#Altavoces#1#80.00
#50002#Auriculares#2#45.15
#90004#Protector pantalla#2#25.00

Fernando#Jiménez#55555555#fernando.jimenez@example.com#+34 644 567 890#Paseo Marítimo 20 Málaga#60007#2025-08-05#4#870.00
#60001#PC sobremesa#1#1200.00
#40001#Disco SSD 1TB#2#120.00
#40002#Memoria RAM 16GB#2#75.00
#40003#Fuente 650W#1#85.00
Fernando#Jiménez#55555555#fernando.jimenez@example.com#+34 644 567 890#Paseo Marítimo 20 Málaga#60008#2025-11-30#2#130.00
#90005#Cargador USB-C#3#30.00
#90006#Cable USB-C#2#20.00

Laura#Herrera#66666666#laura.herrera@example.com#+34 655 678 901#Calle Flores 15 Zaragoza#60009#2025-10-08#3#425.00
#100001#Monitor curvo#1#300.00
#20002#Cable HDMI#2#8.50
#50001#Altavoces#1#80.00

Antonio#Vega#77777777#antonio.vega@example.com#+34 666 789 012#Avenida Libertad 7 Bilbao#60010#2026-01-15#4#540.00
#60001#PC sobremesa#1#1200.00
#20001#Monitor 27"#1#210.00
#10004#Teclado mecánico#1#80.00
#10002#Ratón inalámbrico#1#15.50

Beatriz#Molina#88888888#beatriz.molina@example.com#+34 677 890 123#Calle Palmera 9 Alicante#60011#2025-12-20#3#365.00
#30001#Tablet 10"#1#250.00
#90003#Lápiz digital#1#70.00
#90004#Protector pantalla#2#25.00
Beatriz#Molina#88888888#beatriz.molina@example.com#+34 677 890 123#Calle Palmera 9 Alicante#60012#2026-02-10#2#100.00
#90005#Cargador USB-C#2#30.00
#20002#Cable HDMI#4#8.50

Raúl#Domínguez#99999999#raul.dominguez@example.com#+34 688 901 234#Plaza Mayor 1 Granada#60013#2026-03-05#3#480.00
#40001#Disco SSD 1TB#2#120.00
#40002#Memoria RAM 16GB#3#75.00
#40005#Pasta térmica#4#5.65
